step,episode,ep_reward,ep_steps,success,p_hidden,critic_loss,actor_loss,coverage_loss,alpha
5,1,33.0000,5,0,0.0024,0.0000,0.0000,6.1974,0.2000
10,2,38.0000,5,0,0.0033,0.0000,0.0000,5.9920,0.2000
15,3,69.0000,5,0,0.0036,0.0000,0.0000,5.7033,0.2000
20,4,-3.0000,5,0,0.0072,0.0000,0.0000,5.0544,0.2000
25,5,33.0000,5,0,0.0075,0.0000,0.0000,4.7957,0.2000
30,6,105.0000,5,0,0.0152,0.0000,0.0000,4.3958,0.2000
35,7,-29.0000,5,0,0.0190,0.0000,0.0000,4.2045,0.2000
40,8,33.0000,5,0,0.0267,0.0000,0.0000,3.7850,0.2000
45,9,33.0000,5,0,0.0343,0.0000,0.0000,3.5706,0.2000
50,10,1.5141,5,0,0.0693,0.0000,0.0000,2.7762,0.2000
55,11,28.8949,5,0,0.0525,0.0000,0.0000,0.0499,0.2000
60,12,2.0000,5,0,0.0540,0.0000,0.0000,3.0507,0.2000
65,13,-11.4116,5,0,0.0817,0.0000,0.0000,2.6230,0.2000
70,14,-39.5211,5,0,0.1633,0.0000,0.0000,1.9929,0.2000
75,15,-34.4950,5,0,0.1369,0.0000,0.0000,2.0776,0.2000
80,16,19.9819,5,0,0.2489,0.0000,0.0000,0.6813,0.2000
85,17,0.3231,5,0,0.2416,0.0000,0.0000,1.5526,0.2000
90,18,11.7565,5,0,0.2513,0.0000,0.0000,1.1356,0.2000
95,19,-40.3754,5,0,0.3808,0.0000,0.0000,1.0485,0.2000
100,20,-30.7648,5,0,0.4792,0.0000,0.0000,0.8080,0.2000
105,21,-1.8049,5,0,0.5033,0.0000,0.0000,0.7319,0.2000
110,22,42.6868,5,0,0.5514,0.0000,0.0000,0.6943,0.2000
115,23,-31.4646,5,0,0.6507,0.0000,0.0000,0.4690,0.2000
120,24,-8.3337,5,0,0.5850,0.0000,0.0000,0.4004,0.2000
125,25,18.7530,5,0,0.5557,0.0000,0.0000,0.5965,0.2000
130,26,-38.6206,5,0,0.8103,0.0000,0.0000,0.2381,0.2000
135,27,-3.3845,5,0,0.6916,0.0000,0.0000,0.4044,0.2000
140,28,40.9797,5,0,0.7698,0.0000,0.0000,0.9420,0.2000
145,29,-41.7445,5,0,0.7125,0.0000,0.0000,0.3903,0.2000
150,30,-37.2779,5,0,0.8268,0.0000,0.0000,0.2073,0.2000
155,31,-20.6810,5,0,0.7316,0.0000,0.0000,0.2740,0.2000
160,32,-20.6793,5,0,0.8249,0.0000,0.0000,0.2416,0.2000
165,33,-58.6697,5,0,0.8117,0.0000,0.0000,0.2078,0.2000
170,34,-48.8101,5,0,0.9097,0.0000,0.0000,0.1002,0.2000
175,35,57.0357,5,0,0.7630,0.0000,0.0000,0.6466,0.2000
180,36,-58.8204,5,0,0.9102,0.0000,0.0000,0.0977,0.2000
185,37,-42.0000,5,0,0.8083,0.0000,0.0000,0.2529,0.2000
190,38,5.7646,5,0,0.9268,0.0000,0.0000,0.0795,0.2000
195,39,-21.4226,5,0,0.8999,0.0000,0.0000,0.1111,0.2000
200,40,-58.7283,5,0,0.8788,0.0000,0.0000,0.1502,0.2000
205,41,-65.0000,5,0,0.8185,0.0000,0.0000,0.2019,0.2000
210,42,-5.4512,5,0,0.9300,0.0000,0.0000,0.0733,0.2000
215,43,-37.3702,5,0,0.8001,0.0000,0.0000,0.1677,0.2000
220,44,-21.1860,5,0,0.8612,0.0000,0.0000,0.1405,0.2000
225,45,-5.3474,5,0,0.9301,0.0000,0.0000,0.0864,0.2000
230,46,-42.5226,5,0,0.8784,0.0000,0.0000,0.1189,0.2000
235,47,-53.8064,5,0,0.9181,0.0000,0.0000,0.0955,0.2000
240,48,-26.0084,5,0,0.8474,0.0000,0.0000,0.1790,0.2000
245,49,39.7656,5,0,0.8907,0.0000,0.0000,1.8923,0.2000
250,50,-5.5839,5,0,0.9411,0.0000,0.0000,0.0598,0.2000
255,51,40.4031,5,0,0.7423,0.0000,0.0000,0.5988,0.2000
260,52,-5.1991,5,0,0.9077,0.0000,0.0000,0.0927,0.2000
265,53,-37.6525,5,0,0.8969,0.0000,0.0000,0.0802,0.2000
270,54,-5.5061,5,0,0.9460,0.0000,0.0000,0.0628,0.2000
275,55,-20.9799,5,0,0.8185,0.0000,0.0000,0.1985,0.2000
280,56,-42.5817,5,0,0.8778,0.0000,0.0000,0.1177,0.2000
285,57,-37.8075,5,0,0.9542,0.0000,0.0000,0.0464,0.2000
290,58,7.2698,5,0,0.9375,0.0000,0.0000,2.6681,0.2000
295,59,-5.3325,5,0,0.9079,0.0000,0.0000,0.0828,0.2000
300,60,-26.7296,5,0,0.9543,0.0000,0.0000,0.0462,0.2000
305,61,-10.0558,5,0,0.9041,0.0000,0.0000,0.1207,0.2000
310,62,-5.4208,5,0,0.9344,0.0000,0.0000,0.0773,0.2000
315,63,-53.9238,5,0,0.9498,0.0000,0.0000,0.0507,0.2000
320,64,-25.9080,5,0,0.8583,0.0000,0.0000,0.2093,0.2000
325,65,-16.5406,5,0,0.9484,0.0000,0.0000,0.0712,0.2000
330,66,-21.5658,5,0,0.9368,0.0000,0.0000,0.0728,0.2000
335,67,5.6334,5,0,0.9470,0.0000,0.0000,0.0655,0.2000
340,68,-16.7644,5,0,0.9625,0.0000,0.0000,0.0414,0.2000
345,69,-21.6335,5,0,0.9465,0.0000,0.0000,0.0621,0.2000
350,70,-16.8093,5,0,0.9682,0.0000,0.0000,0.0332,0.2000
355,71,-58.8384,5,0,0.9155,0.0000,0.0000,0.0966,0.2000
360,72,-10.5677,5,0,0.9464,0.0000,0.0000,0.0590,0.2000
365,73,-21.8459,5,0,0.9755,0.0000,0.0000,0.0262,0.2000
370,74,12.5016,5,0,0.8887,0.0000,0.0000,0.0792,0.2000
375,75,-21.6406,5,0,0.9467,0.0000,0.0000,0.0655,0.2000
380,76,-42.2475,5,0,0.8241,0.0000,0.0000,0.1490,0.2000
385,77,-37.8545,5,0,0.9673,0.0000,0.0000,0.0402,0.2000
390,78,-10.6404,5,0,0.9594,0.0000,0.0000,0.0449,0.2000
395,79,17.1653,5,0,0.9658,0.0000,0.0000,3.1882,0.2000
400,80,-26.2389,5,0,0.8446,0.0000,0.0000,0.1665,0.2000
405,81,-10.5818,5,0,0.9451,0.0000,0.0000,0.0543,0.2000
410,82,5.8045,5,0,0.9413,0.0000,0.0000,0.0841,0.2000
415,83,5.6292,5,0,0.9288,0.0000,0.0000,0.0650,0.2000
420,84,-5.6131,5,0,0.9533,0.0000,0.0000,0.0485,0.2000
425,85,-5.5643,5,0,0.9553,0.0000,0.0000,0.0591,0.2000
430,86,55.7141,5,0,0.9213,0.0000,0.0000,2.0187,0.2000
