step,episode,ep_reward,ep_steps,success,p_hidden_mean,collision_rate,oob_rate,critic_loss,actor_loss,coverage_loss,alpha,rew_env,rew_coverage,rew_exploration
1,1,-3.0000,1,0,0.0103,1.000,0.000,0.0000,0.0000,4.5754,0.2000,-3.0000,0.0026,0.0000
3,2,-5.0000,2,0,0.0129,0.500,0.500,0.0000,0.0000,4.3574,0.2000,-5.0000,-0.0114,0.0000
13,3,-20.0000,10,0,0.0226,0.600,0.400,0.0000,0.0000,2.0052,0.2000,-20.0000,0.0126,0.0000
14,4,-3.0000,1,0,0.0292,1.000,0.000,0.0000,0.0000,3.5338,0.2000,-3.0000,-0.0346,0.0000
17,5,-7.0000,3,0,0.0387,0.333,0.667,0.0000,0.0000,3.2562,0.2000,-7.0000,0.0076,0.0000
18,6,-3.0000,1,0,0.0532,1.000,0.000,0.0000,0.0000,2.9336,0.2000,-3.0000,0.0553,0.0000
19,7,-3.0000,1,0,0.0409,1.000,0.000,0.0000,0.0000,3.1970,0.2000,-3.0000,0.0016,0.0000
20,8,-3.0000,1,0,0.0514,1.000,0.000,0.0000,0.0000,2.9688,0.2000,-3.0000,0.0021,0.0000
26,9,-13.0000,6,0,0.0670,0.167,0.833,0.0000,0.0000,2.7224,0.2000,-13.0000,-0.0419,0.0000
27,10,-3.0000,1,0,0.0867,1.000,0.000,0.0000,0.0000,2.4458,0.2000,-3.0000,-0.0880,0.0000
28,11,-3.0000,1,0,0.1049,1.000,0.000,0.0000,0.0000,2.2546,0.2000,-3.0000,0.0040,0.0000
29,12,-3.0000,1,0,0.0752,1.000,0.000,0.0000,0.0000,2.5882,0.2000,-3.0000,-0.0637,0.0000
39,13,-20.0000,10,0,0.1687,0.600,0.400,0.0000,0.0000,1.7947,0.2000,-20.0000,0.0338,0.0000
40,14,-3.0000,1,0,0.2088,1.000,0.000,0.0000,0.0000,1.5664,0.2000,-3.0000,-0.1899,0.0000
41,15,-3.0000,1,0,0.2248,1.000,0.000,0.0000,0.0000,1.4924,0.2000,-3.0000,-0.0049,0.0000
42,16,-3.0000,1,0,0.2445,1.000,0.000,0.0000,0.0000,1.4084,0.2000,-3.0000,-0.0201,0.0000
50,17,-17.0000,8,0,0.3243,0.375,0.625,0.0000,0.0000,1.1321,0.2000,-17.0000,-0.1875,0.0000
